ChEMBL_ID,SMILES,Class,,,,Cl
CHEMBL242113,NC(=S)N/N=C/c1ccc(O)cc1,1,,,,
CHEMBL1353110,COc1ccc(C(=O)O/N=C(\N)Cc2ccc(Cl)c(Cl)c2)cc1OC,1,,,,
CHEMBL33714,NCCCCCCCCCCC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(N)=O)C1CCCCC1,1,,,,
CHEMBL3408630,CCCCCC(=O)Nc1ccc(/C(C)=N/NC(N)=S)cc1,1,,,,
CHEMBL360513,O=C(Nc1nccs1)c1ncccc1OCc1ccccc1,1,,,,
CHEMBL313629,CC(C)=CC(=O)Nc1cccnc1C(=O)Nc1nccs1,1,,,,
CHEMBL3416321,O=[N+]([O-])c1c(Sc2nnnn2-c2ccccc2)cc(Cl)c2nonc12,1,,,,
CHEMBL175017,Cc1ccc(S(=O)(=O)NCCCCOc2ccc(Cc3cnc(N)nc3N)cc2)cc1,1,,,,
CHEMBL416596,CC(=O)N(C/C=C/C#CC(C)(C)C)c1cccc2c1CCC(=O)N2,1,,,,
CHEMBL4285979,C=CCOC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1OC(=O)[C@H]1[C@@H](C)CC)C(C)C)C(C)C,1,,,,
CHEMBL286570,CC(C)CCNC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)CCCCCCCCCCN,1,,,,
CHEMBL89386,CC(C)(C)C(=O)Oc1cccnc1C(=O)Nc1nccs1,1,,,,
CHEMBL1993130,N/C(=N\OC(=O)c1cccc2ccccc12)c1ccc(Cl)cc1,1,,,,
CHEMBL1985130,O=C(O/N=C(/c1ccc(Br)cc1)N1CCOCC1)c1ccccc1,1,,,,
CHEMBL4514964,O=C(c1ccc(Cl)cc1Cl)N1CCN(Cc2ccc(F)cc2)CC1,1,,,,
CHEMBL4112824,Cc1noc(C)c1NS(=O)(=O)c1ccc(-c2ccnc(N3CCNCC3)c2)cc1,1,,,,
CHEMBL1078488,COC[C@@H](CC1O[C@@](O)([C@H](O)C2CC(=O)/C(C)=C/C(C)=C/C(C)=C/[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)/C=C/C(C)=C/CC[C@H](OC(C)=O)[C@@H](OC)C2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1,1,,,,
CHEMBL4107927,Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(-c2cccc(CCN3CCN(C)CC3)c2)cc1,1,,,,
CHEMBL254119,CN(C)c1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,1,,,,
CHEMBL363875,O=C(Nc1nccs1)c1ncsc1CCOC(=O)C1CCCC1,1,,,,
CHEMBL406668,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)c(NC(=O)CS)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,1,,,,
CHEMBL294077,CC1(CCC(=O)NC(Cn2cncn2)CP(=O)(O)O)SCCS1,1,,,,
CHEMBL1077467,COC[C@@H](CC1O[C@@](O)([C@H](O)C2CC(=O)/C(C)=C/C(C)=C/C(C)=C/[C@@H](C)[C@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)/C=C/C(C)=C/CC[C@H](O)[C@@H](OC)C2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](OC(C)=O)[C@@H](C)O2)[C@H](C)O1,1,,,,
CHEMBL182291,CCCN(CCC)C(=O)C(Oc1cc(/C=C2\SC(=S)N(CC(=O)O)C2=O)ccc1OCCc1ccccc1)c1ccccc1,1,,,,
CHEMBL1353110,COc1ccc(C(=O)O/N=C(\N)Cc2ccc(Cl)c(Cl)c2)cc1OC,1,,,,
CHEMBL2011795,COc1cc(O)c(C(=O)NCc2ccc(O)cc2O)cc1C12CC3CC(CC(C3)C1)C2,1,,,,
CHEMBL1088361,CCc1ccc(NC(N)=S)cc1,1,,,,
CHEMBL1571839,O=C(CSc1cccc[n+]1[O-])Nc1ccccc1Oc1ccccc1,1,,,,
